Word	Count	Emotions
chariot	64	
fail	64	
parts	64	
fought	64	
false	64	
ox	64	
hair	64	
waste	64	disgust, negative
jericho	64	
baal	64	
exalted	64	joy, positive, trust
howbeit	64	
hurt	63	anger, fear, negative, sadness
judged	63	
loins	63	
pour	63	
daily	63	anticipation
smitten	63	positive
balaam	63	
grass	62	
fifth	62	
dominion	62	fear, trust
sanctified	62	
always	62	
height	62	
inherit	62	
speaking	62	
thousands	62	
neck	62	
pleased	62	joy, positive
vine	62	
redeemed	62	
coast	62	positive
blemish	62	anger, disgust, fear, negative, sadness
wrote	62	
treasures	62	
rather	62	
abner	62	
zedekiah	62	
seventy	61	
upward	61	
harvest	61	anticipation, joy, positive
abram	61	
ran	61	
pleasure	61	
household	61	positive
unleavened	61	
order	61	
oath	61	positive, trust
watch	61	anticipation, fear
job	61	positive
trumpet	61	negative
syrians	61	
preached	61	
baptized	61	
devil	61	anger, anticipation, disgust, fear, negative, sadness
evening	60	
damascus	60	
burning	60	
despised	60	
next	60	
deal	60	anticipation, joy, positive, surprise, trust
swear	60	positive, trust
journey	60	anticipation, fear, joy, positive
hated	60	
lead	60	positive
loud	60	
governor	60	trust
asa	60	
nebuchadnezzar	60	
mordecai	60	
apostles	60	
lieth	59	
captive	59	fear, negative, sadness
once	59	
escape	59	anticipation, fear, negative, positive
yoke	59	
gift	59	anticipation, joy, positive, surprise
raise	59	
months	59	
horsemen	59	
fields	59	
choose	59	
free	59	
bashan	59	
jehu	59	
endureth	59	
lived	58	
escaped	58	fear
exceeding	58	
weight	58	anticipation, disgust, fear, joy, negative, positive, sadness, surprise, trust
officers	58	
habitation	58	
seat	58	
flour	58	
dwelleth	58	
forsake	58	negative, sadness
elisha	58	
pleasant	57	anticipation, joy, positive, surprise, trust
thoughts	57	
violence	57	anger, fear, negative, sadness
remembered	57	
nakedness	57	
dealt	57	
almighty	57	positive
named	57	
raiment	57	
lying	57	anger, disgust, negative
drive	57	
kingdoms	57	
esther	57	
slaughter	56	anger, disgust, fear, negative, sadness, surprise
persons	56	
edge	56	
person	56	
season	56	
consume	56	
buy	56	
honey	56	positive
forgive	56	positive
redeem	56	
eateth	56	
tables	56	
iniquities	56	
satan	56	
pilate	56	
food	55	joy, positive, trust
fowls	55	
canaanites	55	
countries	55	
nay	55	negative
haste	55	anticipation
laban	55	
dost	55	
spoiled	55	
wonders	55	
mingled	55	
observe	55	
graven	55	
standing	55	positive
altars	55	
devils	55	
immediately	55	anticipation, negative, positive
appear	54	
savour	54	
whoso	54	
seeth	54	
sepulchre	54	
forget	54	negative
beyond	54	
widow	54	sadness
afflicted	54	negative
foundation	54	positive
sockets	54	
hell	54	anger, disgust, fear, negative, sadness
scribe	54	positive
queen	54	
mary	54	
signs	53	
countenance	53	
noah	53	
fair	53	positive
remained	53	
beheld	53	
gifts	53	
red	53	
devoured	53	
friend	53	joy, positive, trust
judges	53	
promise	53	joy, positive, trust
zadok	53	
josiah	53	
garden	52	joy, positive
shed	52	negative
dwelling	52	
held	52	
enquire	52	
scarlet	52	
chamber	52	
heareth	52	
ephod	52	
terrible	52	anger, disgust, fear, negative, sadness
foolish	52	negative
jehoiada	52	
haman	52	
stars	51	
knowing	51	positive
each	51	
too	51	
tarry	51	negative
risen	51	
afar	51	
charged	51	
mourning	51	negative, sadness
wheat	51	
delight	51	anticipation, joy, positive
moon	51	
ourselves	51	
guard	51	fear, positive, trust
home	51	
canst	51	
instruments	51	
past	51	
coasts	51	
remembrance	51	
goodness	51	anticipation, joy, positive, surprise, trust
ends	51	
transgression	51	negative
talents	51	
cedar	51	
doings	51	
trumpets	51	
doctrine	51	trust
lies	51	
itself	50	
desired	50	
thorns	50	
builded	50	
nine	50	
substance	50	positive
suffered	50	
simeon	50	
naphtali	50	
former	50	
teeth	50	
stretch	50	
thrust	50	
blue	50	sadness
glorified	50	
prophesied	50	
rehoboam	50	
confounded	50	negative
preach	50	
divide	49	
fill	49	trust
slept	49	
belly	49	
wroth	49	
driven	49	
speech	49	positive
increased	49	
weep	49	negative, sadness
prosper	49	anticipation, joy, positive
friends	49	
touched	49	negative
assembly	49	positive, trust
staves	49	
beauty	49	joy, positive
bind	49	
pride	49	joy, positive
parable	49	
witnesses	49	
clouds	49	
need	49	
joash	49	
azariah	49	
decree	49	
touch	48	
covering	48	
sodom	48	
tower	48	positive
camels	48	
sinners	48	
ishmael	48	
milk	48	
kindness	48	positive
sworn	48	
damsel	48	
else	48	
promised	48	
song	48	
transgressions	48	
purple	48	
sides	48	
search	48	
gibeah	48	
palace	48	
proud	48	anticipation, joy, positive, trust
sixth	47	
naked	47	
pillar	47	
forward	47	positive
rachel	47	
mischief	47	negative
pestilence	47	disgust, fear, negative
gladness	47	joy, positive
refuge	47	
eternal	47	
jesse	47	
multiply	46	
male	46	
conceived	46	
lands	46	
goest	46	
tidings	46	
bands	46	
sackcloth	46	
interpretation	46	
office	46	
forgotten	46	fear, negative, sadness
snare	46	fear, negative
repent	46	fear, positive
keepeth	46	
entering	46	
vessel	46	
rebuke	46	negative
spirits	46	anticipation, joy, positive, surprise
desolation	46	fear, negative, sadness
weak	46	
low	46	
spear	46	anger, anticipation, fear, negative
measured	46	positive, trust
james	45	
created	45	
kind	45	joy, positive, trust
doest	45	
vengeance	45	anger, negative
cubit	45	
shield	45	
handmaid	45	
hard	45	
smoke	45	
mourn	45	negative, sadness
towns	45	
profit	45	
zebulun	45	
met	45	
washed	45	
remove	45	anger, fear, negative, sadness
glorious	45	
rejoiced	45	
utter	45	
bullocks	45	
vineyards	45	
lions	45	
believeth	45	
establish	44	trust
wild	44	negative, surprise
bought	44	
angry	44	anger, disgust, negative
compassed	44	
issachar	44	
mercies	44	
besought	44	
shepherd	44	positive, trust
multiplied	44	
rings	44	
weeping	44	sadness
root	44	
repaired	44	
synagogue	44	
flood	43	fear
joined	43	positive
piece	43	
dark	43	sadness
uncircumcised	43	
ashes	43	negative, sadness
borders	43	
shekel	43	
asher	43	
captives	43	
staff	43	
duke	43	positive
kid	43	
following	43	
forasmuch	43	
horse	43	trust
armies	43	
satisfied	43	joy, positive
holiness	43	anticipation, fear, joy, positive, surprise, trust
fatherless	43	
balak	43	
sitting	43	
justified	43	
judaea	43	
herod	43	
finished	42	
plant	42	
breath	42	
talked	42	
truly	42	
goods	42	positive
age	42	
herself	42	
lords	42	
perform	42	
weary	42	negative, sadness
changed	42	
harlot	42	disgust, negative
fruits	42	
desert	42	anger, disgust, fear, negative, sadness
latter	42	
sitteth	42	
posts	42	
provoke	42	
forgiven	42	positive
shimei	42	
awake	42	
straightway	42	
seeketh	42	
nathan	42	
benaiah	42	
fools	42	
ahaz	42	
paths	42	
green	41	joy, positive, trust
fig	41	
bosom	41	
sarah	41	
obeyed	41	
sure	41	
walketh	41	
faint	41	
vow	41	anticipation, joy, positive, trust
appoint	41	
either	41	
fierce	41	anger, disgust, fear, negative
compassion	41	fear, positive
declared	41	
boards	41	
suddenly	41	surprise
arrows	41	
gilgal	41	
